[2017-01-06 14:57:55.176] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:58:25.132] [DEBUG] 新蓝网 - 新蓝网 268825 加入缓存队列
[2017-01-06 14:58:25.256] [DEBUG] 新蓝网 - 新蓝网 268824 加入缓存队列
[2017-01-06 14:58:25.381] [DEBUG] 新蓝网 - 新蓝网 268823 加入缓存队列
[2017-01-06 14:58:25.505] [DEBUG] 新蓝网 - 新蓝网 264818 加入缓存队列
[2017-01-06 14:58:25.627] [DEBUG] 新蓝网 - 新蓝网 264817 加入缓存队列
[2017-01-06 14:58:25.739] [DEBUG] 新蓝网 - 新蓝网 264816 加入缓存队列
[2017-01-06 14:58:25.846] [DEBUG] 新蓝网 - 新蓝网 264815 加入缓存队列
[2017-01-06 14:58:25.978] [DEBUG] 新蓝网 - 新蓝网 264814 加入缓存队列
[2017-01-06 14:58:26.115] [DEBUG] 新蓝网 - 新蓝网 264813 加入缓存队列
[2017-01-06 14:58:26.219] [DEBUG] 新蓝网 - 新蓝网 264810 加入缓存队列
[2017-01-06 14:58:26.346] [DEBUG] 新蓝网 - 新蓝网 264809 加入缓存队列
[2017-01-06 14:58:26.468] [DEBUG] 新蓝网 - 新蓝网 264808 加入缓存队列
[2017-01-06 14:58:26.580] [DEBUG] 新蓝网 - 新蓝网 264807 加入缓存队列
[2017-01-06 14:58:26.702] [DEBUG] 新蓝网 - 新蓝网 264806 加入缓存队列
[2017-01-06 14:58:26.816] [DEBUG] 新蓝网 - 新蓝网 264805 加入缓存队列
[2017-01-06 14:58:28.104] [DEBUG] 新蓝网 - 新蓝网 264804 加入缓存队列
[2017-01-06 14:58:28.237] [DEBUG] 新蓝网 - 新蓝网 262575 加入缓存队列
[2017-01-06 14:58:29.541] [DEBUG] 新蓝网 - 新蓝网 262574 加入缓存队列
[2017-01-06 14:58:29.666] [DEBUG] 新蓝网 - 新蓝网 262573 加入缓存队列
[2017-01-06 14:58:29.668] [DEBUG] 新蓝网 - 100
[2017-01-06 14:58:29.672] [DEBUG] 新蓝网 - undefined
[2017-01-06 14:58:29.674] [DEBUG] 新蓝网 - end
