[2017-01-05 16:15:31.006] [TRACE] 第一视频 - DealWith instantiation ...
[2017-01-05 16:17:39.897] [DEBUG] 第一视频 - 第一视频 14448014 加入缓存队列
[2017-01-05 16:17:41.004] [DEBUG] 第一视频 - 第一视频 14447798 加入缓存队列
[2017-01-05 16:17:42.099] [DEBUG] 第一视频 - 第一视频 14446479 加入缓存队列
[2017-01-05 16:17:42.769] [DEBUG] 第一视频 - 第一视频 14447711 加入缓存队列
[2017-01-05 16:17:43.802] [DEBUG] 第一视频 - 第一视频 14447672 加入缓存队列
[2017-01-05 16:17:44.548] [DEBUG] 第一视频 - 第一视频 14447231 加入缓存队列
[2017-01-05 16:17:45.489] [DEBUG] 第一视频 - 第一视频 14447253 加入缓存队列
[2017-01-05 16:17:46.209] [DEBUG] 第一视频 - 第一视频 14446469 加入缓存队列
[2017-01-05 16:17:47.041] [DEBUG] 第一视频 - 第一视频 14446468 加入缓存队列
[2017-01-05 16:17:48.122] [DEBUG] 第一视频 - 第一视频 14445877 加入缓存队列
[2017-01-05 16:17:48.821] [DEBUG] 第一视频 - 第一视频 14445241 加入缓存队列
[2017-01-05 16:17:49.957] [DEBUG] 第一视频 - 第一视频 14445860 加入缓存队列
[2017-01-05 16:17:55.945] [DEBUG] 第一视频 - 第一视频 14445797 加入缓存队列
[2017-01-05 16:17:56.959] [DEBUG] 第一视频 - 第一视频 14445743 加入缓存队列
[2017-01-05 16:17:57.645] [DEBUG] 第一视频 - 第一视频 14445178 加入缓存队列
[2017-01-05 16:17:58.173] [DEBUG] 第一视频 - 第一视频 14445580 加入缓存队列
[2017-01-05 16:17:59.153] [DEBUG] 第一视频 - 第一视频 14445521 加入缓存队列
[2017-01-05 16:17:59.978] [DEBUG] 第一视频 - 第一视频 14444613 加入缓存队列
[2017-01-05 16:18:00.958] [DEBUG] 第一视频 - 第一视频 14445176 加入缓存队列
[2017-01-05 16:18:03.821] [DEBUG] 第一视频 - 第一视频 14444929 加入缓存队列
[2017-01-05 16:18:04.374] [DEBUG] 第一视频 - 第一视频 14444856 加入缓存队列
[2017-01-05 16:18:05.130] [DEBUG] 第一视频 - 第一视频 14444567 加入缓存队列
[2017-01-05 16:18:05.927] [DEBUG] 第一视频 - 第一视频 14443913 加入缓存队列
[2017-01-05 16:18:06.628] [DEBUG] 第一视频 - 第一视频 14444436 加入缓存队列
[2017-01-05 16:18:07.198] [DEBUG] 第一视频 - 第一视频 14443979 加入缓存队列
[2017-01-05 16:18:07.941] [DEBUG] 第一视频 - 第一视频 14444298 加入缓存队列
[2017-01-05 16:18:08.711] [DEBUG] 第一视频 - 第一视频 14443925 加入缓存队列
[2017-01-05 16:18:09.306] [DEBUG] 第一视频 - 第一视频 14443769 加入缓存队列
[2017-01-05 16:18:10.019] [DEBUG] 第一视频 - 第一视频 14442629 加入缓存队列
[2017-01-05 16:18:10.479] [DEBUG] 第一视频 - 第一视频 14442634 加入缓存队列
[2017-01-05 16:18:11.479] [DEBUG] 第一视频 - 第一视频 14441360 加入缓存队列
[2017-01-05 16:18:12.578] [DEBUG] 第一视频 - 第一视频 14442531 加入缓存队列
[2017-01-05 16:18:13.837] [DEBUG] 第一视频 - 第一视频 14441422 加入缓存队列
[2017-01-05 16:18:14.310] [DEBUG] 第一视频 - 第一视频 14442501 加入缓存队列
[2017-01-05 16:18:14.954] [DEBUG] 第一视频 - 第一视频 14442387 加入缓存队列
[2017-01-05 16:18:15.235] [ERROR] 第一视频 - 请求状态有误: 500
[2017-01-05 16:18:15.237] [ERROR] 第一视频 - error url: http://www.v1.cn/video/v_14441989.jhtml
[2017-01-05 16:18:15.238] [ERROR] 第一视频 - 单个DOM接口请求错误 :  { code: 500,
